K,Linf
0.316,42.6
0.039,114.3
0.103,68.1
0.004,496.2
0.23,44
0.223,49
0.032,121.1
0.335,48.1
0.237,49.6
0.392,44.2
0.084,82.8
0.286,47.7
0.203,45.1
0.069,93.7
0.304,44.2
0.095,73.1
0.123,57.8
0.321,45.2
0.012,222
0.241,49
0.024,142.4
0.052,85.6
0.062,76.4
0.248,44.7
0.201,50.7
0.25,48.4
0.286,45.4
0.181,45.4
0.433,46
0.088,81.8
0.383,44.7
0.239,44.4
0.123,56.4
0.085,60.7
0.181,53.6
0.128,54.9
0.055,78.6
0.104,78.3
0.272,46.3
0.496,45.1
0.051,109
0.11,55.4
0.023,116
0.036,146.7
0.189,48.8
0.141,61.5
0.114,52.7
0.415,43.6
0.107,67.8
0.187,44.5
0.33,46
0.271,49
0.216,47.9
0.132,58.5
0.008,300
0.165,49.3
0.233,48
0.297,46.8
0.266,50.6
0.101,69.7
0.465,44.1
0.349,45.1
0.027,130.1
0.268,44.7
0.263,47.9
0.032,120.4
0.341,46.5
0.04,146.2
0.604,42.4
0.207,44.7
0.257,44.5
0.355,47.9
0.234,51.1
0.01,246.5
0.033,118.6
0.175,47
0.15,46.7
0.21,46.6
0.015,192.5
0.241,50.3
0.024,142.4
0.058,84.2
0.059,71.8
0.275,49.7
0.043,65.6
0.325,44
0.15,62
0.211,44.3
0.063,67.3
0.393,44.8
0.182,55.1
0.115,67.7
0.132,56
0.247,49.3
0.064,54.2
0.287,44.6
0.367,43.3
0.065,75.8
0.029,126.1
0.285,44.1
0.231,49.2
0.006,388.2
0.343,44.4
0.229,44.9
0.416,47.8
0.133,44.2
0.095,53.3
0.125,56.1
0.263,49
0.068,69.1
0.011,235.8
0.072,54.5
0.011,232.9
0.23,44.8
0.338,44.9
0.217,54.8
0.058,93.1
0.264,50
0.01,252.7
0.262,49.4
0.044,84.4
0.377,44
0.093,51.6
0.167,53.3
0.019,164.4
0.297,44.6
0.193,56.8
0.054,83.2
0.117,66.3
0.175,48
0.175,45.5
0.234,48.8
0.114,47.8
0.219,44.7
0.087,75.1
0.31,48.8
0.317,44.4
0.293,45.3
0.328,44
0.075,69.5
0.197,52.6
0.292,48.6
0.197,44.4
0.14,50.3
0.435,42.7
0.076,85.3
0.233,51.9
0.297,50.7
0.251,47.1
0.238,45.7
0.038,95.6
0.144,52
0.024,141.3
0.397,46.7
0.222,45.6
0.308,44.6
0.281,46.6
0.119,68.1
0.186,47.3
0.115,53.7
0.303,46
0.219,47.2
