age_yr,length_cm
1,15.9
2,20.3
2,19.8
1,20.8
1,32.7
1,31.5
1,26.5
1,25.5
1,22.9
1,22.1
2,24.2
3,23.4
3,24.8
2,25.8
2,26.9
2,28.7
2,29.7
2,30.9
2,32.2
2,33
2,35.2
2,36.8
3,37.7
3,36.1
3,35
3,33.8
3,32.7
3,31.7
3,30.5
3,29.7
3,28.5
3,27.8
3,26.4
4,44.3
4,42.4
4,41.4
4,40.3
4,38.5
4,37.4
4,36
4,34.5
4,32.8
5,49.4
5,47.9
5,46.4
5,45.3
5,43.3
5,41.8
5,40.4
5,39.4
5,38.3
5,37
4,29.8
5,35.2
5,31.5
6,38.4
6,40.3
6,41.1
6,43.1
6,45.7
6,47.1
6,48.3
6,50.1
6,52
6,59
7,53.4
7,51
7,49.3
7,47.7
7,46.4
7,45.4
7,43.4
7,39.5
8,47
8,52.7
8,54.2
8,58.2
8,56.3
8,48.6
9,46
9,53.9
10,53.6
10,52.4
10,51.1
10,56.9
10,59.2
9,61.2
10,64.2
11,70.2
7,61.3
5,54.4
6,58.2
10,60.9
11,62.8
11,64.8
11,60.5
12,59
12,61.9
12,60.6
13,60.6
13,63.5
13,66.8
13,72.3
14,64.9
14,66.9
14,68.5
15,69.9
16,63.3
16,65.5
17,62.3
17,65.9
21,67
18,70.5
18,77.1
20,76.4
20,78.5
22,72.2
23,75.6
23,78.4
25,80.7
26,82.1
26,87.8
29,72.6
32,77.5
33,75.6
30,84
31,84.8
32,89.4
32,88.4
33,84.7
33,82.8
36,75.1
36,73.1
42,78.8
42,88
47,79.9
50,82.4
11,55.3
11,53.9
11,52.6
9,58.6
9,56
10,55.4
