age_yr,length_cm
1,18.1
1,16
2,16.8
3,20.4
2,29.4
2,25.2
2,24.4
2,23.7
2,22.8
2,21.8
2,20.9
2,19.5
3,23.1
3,24.1
3,25.2
3,26.8
3,27.8
3,29.5
3,30.8
4,36.3
4,34.8
4,33.4
4,32.2
4,31.3
4,30.3
4,29.1
4,28
5,28.9
5,30
5,30.6
5,31.8
5,33.7
5,35.2
5,36.3
5,37
5,38.5
6,44.1
6,40.4
6,39.2
6,37.8
6,36.6
6,35.5
6,33.8
6,32.8
6,32.1
6,31
7,34
7,35.7
7,36.8
7,37.7
7,39.2
7,41.2
7,43.4
7,45.2
8,49.8
8,48.2
8,46.6
8,43.6
8,41.5
8,40.3
8,38.7
8,36.8
9,47.4
9,45.3
9,44.5
9,44.1
9,43.2
9,42.7
9,41.9
9,40.8
9,39
9,36
10,38.3
10,39.9
10,41.6
10,42.7
10,45.4
10,43.9
11,40.4
11,41.9
11,44.2
11,45.9
11,47.1
11,49.2
11,50.9
12,55.6
12,53.1
12,51.4
12,50.1
12,48.6
12,47.5
12,45.8
12,44.7
12,43.6
12,42
12,40.1
12,38.5
13,59.6
13,51.4
13,52.5
13,48.2
13,46.6
13,45
13,43.8
14,46
14,47.1
14,48.6
14,52
14,53.1
14,54.9
14,56.3
15,60.3
15,57
15,55.2
15,54.2
15,52.7
15,50.1
15,48.6
15,47.7
16,46.3
16,49
16,50.3
16,52.3
16,54.1
16,55.6
16,57.8
16,59.2
17,66
17,63.1
17,59.5
17,58.1
17,53.8
17,52.4
17,51
17,50.5
17,48.7
18,46.4
18,48.1
18,49.8
18,51
18,52.3
18,55.1
18,59.1
18,63.9
18,70.4
19,50.5
20,52
20,49.6
21,50.4
21,48.6
24,49.2
19,60
19,63.5
20,63.1
20,60.9
20,59.6
20,57.8
20,55.7
21,55.2
21,56.5
21,58
21,59.5
21,62.8
21,64.5
22,67.2
22,63.9
22,62.7
22,60.9
22,59.5
22,58
22,56.4
22,55.2
23,57.4
23,60
23,61.4
23,62.7
23,66.1
23,68.2
24,68.3
24,70.4
24,64.2
24,63
24,61.2
24,59.8
24,56
24,49.6
25,60.9
25,63.6
25,66
25,71.2
26,65.6
26,63.3
27,66.9
28,66
30,61.4
32,66.7
32,72
