ID,Species,Place,Lat,Date,Region,Year,Month,Day,Season,age_yr,Total_length,length_cm,Weight (g),Sex,Read
S0002,Steenbras,Meob Bay,24.68,08/06/2020,South,2020,6,8,Winter,11,59,53.7,3.19,M,whole oto
S0008,Steenbras,Meob Bay,24.73,19/10/2020,South,2020,10,19,Spring,4,37.4,34,800,M,whole oto
S0009,Steenbras,Meob Bay,24.73,19/10/2020,South,2020,10,19,Spring,4,39,36.1,940,M,whole oto
S0011,Steenbras,Meob Bay,24.75,20/10/2020,South,2020,10,20,Spring,4,43.5,39.6,1400,H,whole oto
S0015,Steenbras,Meob Bay,24.75,20/10/2020,South,2020,10,20,Spring,5,43,38.8,1260,M,whole oto
S0016,Steenbras,Meob Bay,24.75,20/10/2020,South,2020,10,20,Spring,3,38.4,34.8,880,M,whole oto
S0017,Steenbras,Meob Bay,24.75,20/10/2020,South,2020,10,20,Spring,4,39.2,35.4,940,M,sliced
S0018,Steenbras,Meob Bay,24.74,21/10/2020,South,2020,10,21,Spring,5,44.2,39.5,1300,F,whole oto
S0020,Steenbras,Meob Bay,24.74,21/10/2020,South,2020,10,21,Spring,7,49.6,44.9,1960,F,sliced
S0021,Steenbras,Meob Bay,24.74,21/10/2020,South,2020,10,21,Spring,4,44.9,41,1500,M,whole oto
S0023,Steenbras,Meob Bay,24.74,21/10/2020,South,2020,10,21,Spring,4,45.7,41.8,1500,M,sliced
S0024,Steenbras,Meob Bay,24.74,22/10/2020,South,2020,10,22,Spring,5,43,38.6,1680,M,whole oto
S0025,Steenbras,Meob Bay,24.74,22/10/2020,South,2020,10,22,Spring,8,48,43.8,1620,H,whole oto
S0026,Steenbras,Meob Bay,24.68,12/01/2021,South,2021,1,12,Summer,4,41.4,37.8,970,M,whole oto
S0033,Steenbras,Meob Bay,24.68,12/01/2021,South,2021,1,12,Summer,4,38.9,35,940,M,whole oto
S0036,Steenbras,Meob Bay,24.68,13/01/2021,South,2021,1,13,Summer,4,38,35,900,M,whole oto
S0038,Steenbras,Meob Bay,24.68,13/01/2021,South,2021,1,13,Summer,4,38.1,34.6,850,M,whole oto
S0040,Steenbras,Meob Bay,24.68,14/01/2021,South,2021,1,14,Summer,6,50.3,45.7,2150,F,whole oto
S0043,Steenbras,Meob Bay,24.68,14/01/2021,South,2021,1,14,Summer,7,38,34.5,900,M,sliced
S0047,Steenbras,Meob Bay,,01/03/2021,South,2021,3,1,Autumn,5,39,35.5,990,M,whole oto
S0049,Steenbras,Meob Bay,,01/03/2021,South,2021,3,1,Autumn,7,38.3,35,840,H,sliced
S0050,Steenbras,Meob Bay,,01/03/2021,South,2021,3,1,Autumn,4,39.5,36.2,920,H,whole oto
S0055,Steenbras,Meob Bay,,02/03/2021,South,2021,3,2,Autumn,5,51,46.5,2020,F,whole oto
S0056,Steenbras,Meob Bay,,02/03/2021,South,2021,3,2,Autumn,9,50,45.6,2110,F,sliced
S0058,Steenbras,Meob Bay,24.60277,22/03/2021,South,2021,3,22,Autumn,10,43,40,1300,H,sliced
S0063,Steenbras,Meob Bay,24.9,20/04/2021,South,2021,4,20,Autumn,11,62.2,57.5,3870,F,sliced
S0065,Steenbras,Meob Bay,24.73,17/05/2021,South,2021,5,17,Autumn,7,51.6,47,2420,H,whole oto
S0066,Steenbras,Meob Bay,24.52,19/05/2021,South,2021,5,19,Autumn,6,45,41.9,1390,M,whole oto
S0070,Steenbras,Meob Bay,24.62,20/05/2021,South,2021,5,20,Autumn,9,51.6,46.5,2380,F,sliced
S0072,Steenbras,Meob Bay,24.62,20/05/2021,South,2021,5,20,Autumn,10,57.4,52.2,2910,H,sliced
