Age,Lower LAA,Upper LAA,Lower LAA T&R,Upper LAA T&R
0,3.485875023,22.36242393,2.614819836,16.44461122
0.1,4.007526795,23.9232807,2.874508755,17.70741335
0.2,4.516266309,25.3827395,3.133873389,18.91295705
0.3,5.006903819,26.97935677,3.390188417,20.06383857
0.4,5.531531569,28.39006573,3.645267594,21.16254191
0.5,6.027617017,29.72842483,3.899954407,22.21249504
0.6,6.485548159,31.02747033,4.157665341,23.23202155
0.7,6.988386474,32.30499215,4.415092305,24.19654584
0.8,7.489313078,33.52201485,4.67223561,25.11488971
0.9,7.988335271,34.71614332,4.929095571,26.02243346
1,8.485460323,35.80615269,5.185505048,26.88435636
1.1,8.980695477,36.89452969,5.435726833,27.68968334
1.2,9.473427384,37.97212099,5.678748872,28.45916452
1.3,9.968142722,39.09067628,5.92039544,29.19439544
1.4,10.46148087,40.08173104,6.167207912,29.89914225
1.5,10.94012434,41.08430732,6.420348439,30.60493987
1.6,11.42605446,42.09710508,6.673186017,31.24886985
1.7,11.91149682,43.08435268,6.925721008,31.85042073
1.8,12.4073193,44.02305748,7.177953774,32.42448667
1.9,12.90035921,44.88452317,7.429884678,32.9728846
2,13.37322517,45.71244027,7.681477677,33.50754291
2.1,13.86364951,46.51471411,7.932687038,34.0184032
2.2,14.32725524,47.29213896,8.183588301,34.50709466
2.3,14.77966663,47.99605136,8.43418185,34.97953686
2.4,15.24531016,48.77549662,8.684468071,35.44258214
2.5,15.6759351,49.48289799,8.934447348,35.84599239
2.6,16.1196145,50.16838899,9.184120064,36.25668433
2.7,16.56013968,50.83264827,9.433486602,36.66097969
2.8,16.97827926,51.50270392,9.682547346,37.04093736
2.9,17.40574131,52.1012814,9.931302677,37.38126704
3,17.86651584,52.69629004,10.17975298,37.70477339
3.1,18.30215208,53.2554944,10.42789863,38.01416773
3.2,18.73102427,53.82188685,10.67574001,38.34302539
3.3,19.1571793,54.33477621,10.9232775,38.69540922
3.4,19.57887759,54.8510421,11.16488539,39.03464168
3.5,19.97853203,55.37086551,11.40588549,39.35980969
3.6,20.37412266,55.86598285,11.64633871,39.67170435
3.7,20.76820986,56.34438351,11.8862463,39.88072938
3.8,21.16079937,56.80565125,12.12801218,40.06495541
3.9,21.55189686,57.25327377,12.37391689,40.24403687
4,21.94150802,57.6881656,12.61955064,40.54984215
4.1,22.32963848,58.10912548,12.86491373,40.79897146
4.2,22.71629389,58.51611511,13.11000646,41.01092557
4.3,23.10147984,58.91042461,13.35445967,41.19208608
4.4,23.4876613,59.29113612,13.59327436,41.40416733
4.5,23.8979321,59.65924252,13.81671269,41.58753619
4.6,24.30599027,59.97374338,14.03904192,41.76432852
4.7,24.698278,60.30650142,14.26042173,41.93504659
4.8,25.08143803,60.66248721,14.48734668,42.13270337
4.9,25.46246069,61.01744872,14.72036141,42.37289685
5,25.84192288,61.33010573,14.95283408,42.51178283
5.1,26.21983099,61.63269117,15.18476596,42.60617805
5.2,26.59619139,61.92552953,15.41067668,42.76997514
5.3,26.97101043,62.20893486,15.63307335,42.89415945
5.4,27.34429443,62.48321106,15.8546999,43.0196479
5.5,27.71604968,62.75082272,16.07555901,43.16201782
5.6,28.08628244,63.04687024,16.31004978,43.32100352
5.7,28.45499896,63.4111369,16.54793955,43.45965661
5.8,28.82220545,63.76635233,16.78556093,43.57971571
5.9,29.18431463,63.97442852,17.02273826,43.72382838
6,29.54354679,64.17530629,17.25037309,43.8593988
6.1,29.90085932,64.41671874,17.47749206,43.95071199
6.2,30.24842821,64.70569818,17.70409635,44.03610339
6.3,30.61014056,64.92278338,17.93018715,44.20457362
6.4,30.96248674,65.13123177,18.15576562,44.39376676
6.5,31.31283787,65.33808476,18.38083294,44.56744645
6.6,31.66160883,65.53054943,18.60516673,44.70822737
6.7,32.00889808,65.7187056,18.82883078,44.86843187
6.8,32.35879232,65.90291808,19.05197826,45.00618357
6.9,32.71182776,66.16339907,19.27461034,45.21383116
7,33.06250855,66.33133716,19.49672824,45.34699125
7.1,33.40382455,66.49253456,19.71833312,45.51466231
7.2,33.74346197,66.64739831,19.93942619,45.64724107
7.3,34.08137278,66.79852606,20.16284402,45.75048836
7.4,34.41617032,66.94475298,20.39818859,45.94578688
7.5,34.74451891,67.21288908,20.62916813,46.0865072
7.6,35.07148208,67.35780719,20.84434751,46.26755144
7.7,35.3970657,67.49941348,21.05893757,46.40159728
7.8,35.72090119,67.63668481,21.28853368,46.57002342
7.9,36.04327664,67.76974141,21.51992386,46.65958455
8,36.36550256,67.91295684,21.75108452,46.93743578
8.1,36.69235092,68.05770377,21.98201591,47.18952199
8.2,37.01502153,68.17100446,22.21271823,47.31332081
8.3,37.33612522,68.28038637,22.44319172,47.49694471
8.4,37.65566961,68.38598509,22.67343662,47.66966138
8.5,37.97366228,68.47694115,22.90345313,47.82528496
8.6,38.29004148,68.58771158,23.1332415,47.97528607
8.7,38.60475573,68.69033287,23.36280195,48.12218378
8.8,38.91793673,68.78977987,23.59213471,48.45322915
8.9,39.22959195,68.8977049,23.82123999,48.76160869
9,39.53972881,69.14877029,24.05011804,48.96326187
9.1,39.84835473,69.39695398,24.27876907,49.1705704
9.2,40.15547706,69.51464574,24.50719331,49.36881284
9.3,40.46110313,69.61356219,24.73539098,49.47623842
9.4,40.76524023,69.8167355,24.96274022,49.76301039
9.5,41.06789561,69.93031744,25.18868389,50.04732552
9.6,41.36907651,70.07073982,25.37581216,50.32763161
9.7,41.66879009,70.32708972,25.53555754,50.6034093
9.8,41.96704353,70.45082666,25.69417666,50.82103257
9.9,42.26384391,70.60537932,25.85167766,51.02168719
10,42.55919834,70.79411767,26.04931566,51.26960289
10.1,42.85311386,71.00890124,26.27695119,51.56320488
10.2,43.14559747,71.11849629,26.50442573,51.8307478
10.3,43.43665615,71.32030372,26.7317394,52.09586712
10.4,43.72629686,71.48661748,26.95889232,52.29543957
10.5,44.01452649,71.69965849,27.18588459,52.55232401
10.6,44.30126661,71.77970892,27.41271634,52.80996841
10.7,44.5863456,71.97118272,27.63938768,53.02186647
10.8,44.8700258,72.18095961,27.86589871,53.31909264
10.9,45.15231409,72.38115768,28.09224956,53.56913941
11,45.4332173,72.57824306,28.31844033,53.81762683
11.1,45.71274224,72.77226412,28.54447115,54.06386388
11.2,46.00616741,72.86879974,28.77034212,54.30787096
11.3,46.30662217,72.97067496,28.99605337,54.54966825
11.4,46.60602816,73.11667724,29.22160499,54.78927577
11.5,46.87544202,73.16933324,29.44699711,55.01907626
11.6,47.13923222,73.43849451,29.67222983,55.14970371
11.7,47.40089005,73.71191807,29.89730328,55.37407742
11.8,47.66066714,73.9723286,30.12092878,55.60362683
11.9,47.91893415,74.14012977,30.34393859,55.83109576
12,48.17569985,74.30763852,30.56677071,56.05906948
12.1,48.43690595,74.47253904,30.76447823,56.28520152
12.2,48.70552837,74.63487201,30.91586172,56.50930864
12.3,48.97300788,74.78553308,31.12281695,56.73140896
12.4,49.23934935,74.9192604,31.34781028,56.95152046
12.5,49.48682714,75.05056188,31.53739406,57.16966095
12.6,49.74688568,75.17948172,31.6602193,57.38584807
12.7,50.00567848,75.30606332,31.80016664,57.60009932
12.8,50.2632117,75.51412214,32.01036966,57.77599282
12.9,50.51949149,75.68572815,32.22028094,57.92864529
13,50.77452393,75.72042501,32.38438485,58.0803681
13.1,51.02831512,75.7800967,32.52747732,58.2813793
13.2,51.28087109,75.90480098,32.66967005,58.52244077
13.3,51.53219785,76.00418041,32.8505813,58.76297322
13.4,51.78207518,76.14565151,33.06404696,59.00012746
13.5,52.03072301,76.33127361,33.27729768,59.17058719
13.6,52.27815572,76.51450347,33.49033368,59.33922584
13.7,52.52437927,76.65117531,33.70315518,59.50606291
13.8,52.76939954,76.75450407,33.9157624,59.67111765
13.9,53.01322244,76.85948866,34.12815555,59.83440912
14,53.2558538,76.95849713,34.34033484,59.99595618
14.1,53.49729945,77.05728255,34.55175527,60.15577749
14.2,53.73756518,77.22708023,34.76284261,60.32915535
14.3,53.97665677,77.40841686,34.97370991,60.51645388
14.4,54.21457994,77.58891526,35.18435743,60.70210372
14.5,54.45134041,77.71563538,35.39478539,60.88658146
14.6,54.68694387,77.82700737,35.60499406,61.15413708
14.7,54.92139596,77.96168041,35.78519488,61.50418755
14.8,55.15470231,78.08644171,35.93045194,61.68156071
14.9,55.38686852,78.21525484,36.07310521,61.85734556
15,55.61670899,78.31365894,36.17436333,62.03155633
15.1,55.8430991,78.41047714,36.33725545,62.20420711
15.2,56.06835907,78.505735,36.46680919,62.37531188
15.3,56.29249454,78.59952687,36.64070576,62.54488448
15.4,56.51551113,78.69280996,36.78228229,62.71293862
15.5,56.73741441,78.78955215,36.92312051,62.87948791
15.6,56.95820995,78.87242279,37.06322438,63.04454581
15.7,57.17746205,78.96005451,37.20040295,63.20812569
15.8,57.39107734,79.13044618,37.33674425,63.37024079
15.9,57.59440516,79.26726475,37.47234662,63.53090421
16,57.79659815,79.35718049,37.64734948,63.69012895
16.1,57.99766264,79.44569732,37.85524404,63.84792791
16.2,58.19760493,79.53283701,38.01179051,64.00431384
16.3,58.46200604,79.61862097,38.12782899,64.1592994
16.4,58.68496031,79.7030703,38.26170693,64.31323131
16.5,58.92854525,79.78774346,38.43774271,64.46783755
16.6,59.1336497,79.87217036,38.54282564,64.67124058
16.7,59.33760244,80.03058137,38.6187763,64.82000708
16.8,59.5520866,80.29572206,38.69158162,65.0071655
16.9,59.80134611,80.40301657,38.78942926,65.15090646
17,60.01166824,80.55185126,38.89806709,65.29333142
17.1,60.22010577,80.65801847,39.00601011,65.43445244
17.2,60.42752574,80.7788195,39.11320523,65.57428145
17.3,60.63393312,81.0174276,39.21965766,65.71283029
17.4,60.83933285,81.12376316,39.32434581,65.85011066
17.5,61.04372986,81.20539287,39.42801369,65.9861342
17.6,61.14981231,81.27702436,39.53131387,66.12091239
17.7,61.31261429,81.3480728,39.63580423,66.25445666
17.8,61.5036969,81.41897595,39.77615695,66.38677828
17.9,61.69475229,81.48878728,39.8405594,66.51788846
18,61.75877317,81.57571781,39.94127625,66.64779828
18.1,61.94422828,81.81357435,40.04053237,66.77651874
18.2,62.17140698,81.93536542,40.09901586,66.90406073
18.3,62.31835179,82.06984141,40.10158341,67.03043503
18.4,62.50671149,82.30687882,40.1041288,67.15565234
18.5,62.75065448,82.54398786,40.14418136,67.27972324
18.6,62.8595206,82.77979737,40.20832236,67.40265824
18.7,62.86086434,83.01431447,40.27180963,67.52446773
18.8,62.94539311,83.23440894,40.33464985,67.64516201
18.9,63.02871604,83.44349421,40.39684961,67.76475131
19,63.24616344,83.65914367,40.45841546,67.88716278
19.1,63.33250338,83.76695565,40.51935384,68.07771527
19.2,63.47710199,83.85711901,40.66682312,68.20108579
19.3,63.56047053,83.94612899,40.76018453,68.31680218
