Linf,K,t0
93.89108983,0.057587017,-4.416490596
82.19540405,0.092802809,-2.522677203
80.61367772,0.092795262,-2.627859117
92.17139743,0.072709466,-3.142284085
88.9065086,0.070307088,-3.751094826
80.17404381,0.094452997,-2.553297332
88.92484891,0.080205621,-2.871839549
89.07400329,0.075092953,-3.142603026
83.12760061,0.087455475,-2.902159311
98.20248476,0.053305649,-4.499191743
80.99439779,0.074582329,-4.09957515
88.70654146,0.058543148,-5.150114466
79.25867128,0.095394957,-2.430769522
77.22475823,0.099517577,-2.627938329
99.95835862,0.051767342,-4.734975374
89.52980807,0.075923841,-2.89278041
82.4162587,0.084567947,-2.987762404
101.9487768,0.050066169,-4.689096349
85.70585029,0.076256057,-3.336350208
91.312884,0.065469578,-3.762017664
87.77665062,0.074021723,-3.29641597
85.62225836,0.080164591,-3.01996245
95.21273255,0.06949546,-3.280851181
79.59579201,0.094852069,-2.70880481
87.9726939,0.068426597,-3.545104828
83.69399623,0.080583861,-3.191432374
82.88726989,0.090435318,-2.458012404
76.26346529,0.095008818,-3.102691906
96.64312621,0.058268725,-3.995734334
87.11739761,0.070545223,-3.908859899
88.95452135,0.07759793,-2.988081022
89.7378725,0.072616628,-3.382902899
75.2508759,0.113316235,-2.184565162
86.10881728,0.086752157,-2.540331963
105.6885228,0.049047437,-4.664981174
80.71678794,0.099895616,-2.303665491
79.0955365,0.108098915,-1.949549183
75.92815113,0.125840211,-1.521517913
84.18171547,0.085999151,-2.471560625
88.06870018,0.069160544,-3.694562524
86.14484878,0.087249825,-2.653492331
85.14601498,0.08166973,-3.060980094
89.30325253,0.068450398,-3.762620643
90.92075625,0.06197713,-4.304524391
83.77417044,0.074283801,-3.670291222
81.21736519,0.105132811,-1.870308204
94.66858261,0.060007405,-4.144195829
84.8994278,0.081865616,-3.036490228
85.89231458,0.086792549,-2.670184852
82.9407703,0.091020287,-2.652378945
89.95099756,0.07485892,-2.997507081
86.6517107,0.067233653,-4.29775589
86.97312854,0.077454525,-3.165425428
94.69738924,0.062971047,-3.604616853
82.60712962,0.095617386,-2.304216082
75.86957848,0.119520407,-1.760977823
80.31497532,0.098319533,-2.577993122
83.28528,0.091975587,-2.644248035
80.67169183,0.097100814,-2.374318146
91.82123801,0.077306054,-2.745663738
80.49730384,0.082916858,-3.400079888
89.51761105,0.074536391,-3.124300568
90.09486676,0.073739595,-3.324509222
94.71778465,0.057343855,-4.35040313
73.92707589,0.114867725,-2.124967141
81.40511934,0.093519817,-2.50178045
85.88081421,0.087676932,-2.521057082
80.47921578,0.088769828,-2.873677611
86.87261572,0.084668881,-2.659064581
71.78677522,0.129707892,-1.780137821
87.02615041,0.085026501,-2.497195194
101.9062249,0.056191235,-3.967588486
77.23633864,0.096067915,-2.928539784
89.065894,0.078710679,-2.844441794
78.38899581,0.0911813,-3.155474301
82.69242559,0.0756286,-3.764885252
84.57972631,0.083472519,-2.917603778
83.30131047,0.079682733,-3.358902996
94.53724235,0.060541965,-3.950943141
88.56399069,0.080540321,-2.744568001
86.46752481,0.071063293,-3.747955777
87.11491769,0.087789982,-2.376045124
85.3297054,0.085871024,-2.517223889
96.24517987,0.057050962,-4.482718026
87.96306176,0.074601161,-3.097264428
93.21252116,0.060993863,-4.174904394
96.98280168,0.059027983,-4.014173511
83.43114204,0.085071877,-2.911892153
74.93164041,0.111838208,-2.338872249
87.28837026,0.07870369,-3.005374129
