Linf,K,t0
78.49099254,0.099296522,-3.02956548
200.5016765,0.018425878,-7.857439705
83.22358871,0.064232279,-5.574468598
82.46645086,0.077969059,-3.869006296
122.9770267,0.03092939,-8.675058665
134.4145617,0.032655934,-5.874430282
71.96261692,0.109796605,-3.587736253
107.8843277,0.043534512,-6.310089017
69.52599038,0.120289889,-3.028165616
183.6319494,0.016694917,-10.01728442
208.9017285,0.017321531,-8.09810555
84.48010858,0.070618648,-3.936305669
65.27244835,0.129246635,-3.554843568
135.8079717,0.035634141,-4.993802975
72.58931185,0.089934013,-4.870338049
107.177314,0.037992275,-7.973059165
71.39506592,0.094708311,-4.914534056
76.49569699,0.078926807,-5.499170854
189.8580503,0.019441823,-7.179774812
119.353545,0.03601355,-6.929672122
108.2131332,0.049344546,-4.718405529
224.8122078,0.015276183,-8.551141206
157.0027887,0.022287175,-8.677571548
79.56616417,0.080868577,-4.063386479
83.23858485,0.068784699,-5.467469897
161.7309929,0.018752574,-10.52792368
118.4514026,0.039665829,-6.253880203
69.79377888,0.106226464,-3.635283447
89.61383238,0.055604508,-6.730220459
159.7083613,0.02652549,-6.140902439
180.360992,0.01947399,-8.289463297
202.7064893,0.020116406,-5.776498974
182.0580631,0.021419246,-6.587855251
92.8686436,0.055797988,-5.406010654
86.48792257,0.072934308,-2.940394494
107.5664557,0.047343039,-5.678233496
109.8033775,0.038218299,-6.978900163
80.93175796,0.071341702,-4.69250114
505.0316657,0.005111373,-11.59570298
115.3886443,0.043081691,-4.898733179
58.25100341,0.634841617,2.726712079
68.13639334,0.146362244,-1.242136502
69.68682226,0.112730316,-4.008400835
118.9087649,0.0325454,-7.798445457
62.9650084,0.161432101,-1.666328662
117.8234901,0.035435384,-6.506873496
190.5343576,0.018356867,-8.736281573
134.026589,0.037465336,-4.157374357
72.7059504,0.12791011,-2.202852441
85.24248685,0.061660046,-5.757093327
251.8858345,0.012156282,-9.322651426
102.7275282,0.052125936,-5.032763064
87.91119722,0.057520302,-6.234829828
75.04166185,0.084861602,-4.643205919
497.5985063,0.006107092,-8.696229129
81.25548468,0.080567731,-4.099064613
267.0438803,0.011808073,-9.154023996
65.38548678,0.206751211,0.298272105
191.1372264,0.018011602,-8.267081581
81.75425634,0.076646908,-4.377494217
73.65323028,0.093833106,-4.252848747
392.3312615,0.006635828,-11.51179427
73.2879934,0.112262633,-2.515600842
79.7720732,0.071051648,-5.318226363
64.02641131,0.166518055,-1.883642929
359.0227894,0.007854118,-10.2338695
906.2156084,0.003121671,-9.724967104
78.99080713,0.090948984,-2.553320303
84.06661235,0.084225766,-3.30966856
544.3580362,0.004907618,-10.73784666
124.9580498,0.041976123,-4.289463269
327.2679125,0.008418501,-10.88052558
70.06477737,0.134050664,-2.787329801
62.3895837,0.269190175,1.07501943
84.36482331,0.060694447,-6.725666788
139.7287809,0.031930049,-6.387750724
128.9756078,0.03601102,-5.735221377
150.7796324,0.034636111,-3.551203756
85.95387476,0.060299829,-6.177301633
223.2076925,0.013016217,-10.07173712
58.68618162,0.289737126,1.163357554
138.9402395,0.02616195,-8.595012152
184.4464086,0.01797492,-8.730091013
39.93024516,1.723221401,0.887829491
84.71265468,0.070560969,-4.937348325
64.15123492,0.162931356,-1.409542852
67.53225386,0.101254508,-5.239165969
272.4705127,0.013031543,-7.46246233
186.1236494,0.01986759,-6.593334133
178.5280717,0.021028386,-7.073471658
81.10111341,0.079814706,-3.925910664
125.8953474,0.031909738,-6.594564155
78.6952305,0.087569007,-3.717538923
74.89447285,0.105215532,-2.268705357
87.7692643,0.075186745,-3.805150787
72.18469618,0.119263297,-2.809247436
96.87058735,0.045757423,-7.756438072
128.8744552,0.032951209,-6.635618912
103.8721942,0.057088799,-3.738042618
304.9517458,0.008885974,-11.06320061
190.7601633,0.019430316,-7.055914032
105.5404422,0.049761258,-5.414083596
67.44957604,0.146412195,-2.783549457
105.5404422,0.049761258,-5.414083596
67.44957604,0.146412195,-2.783549457
105.5404422,0.049761258,-5.414083596
67.44957604,0.146412195,-2.783549457
105.5404422,0.049761258,-5.414083596
67.44957604,0.146412195,-2.783549457
105.5404422,0.049761258,-5.414083596
67.44957604,0.146412195,-2.783549457
105.5404422,0.049761258,-5.414083596
67.44957604,0.146412195,-2.783549457
