Linf,K,t0
48.94728346,0.399709071,-0.254415089
197.5257775,0.022280576,-5.733648476
49.87377051,0.294722935,-1.039939789
96.53305806,0.060731445,-4.163145871
316.5628159,0.013506647,-5.385375874
125.2227486,0.046952988,-3.675019277
78.95631295,0.099439345,-2.420445333
128.6053099,0.042776234,-4.325328187
343.0686775,0.011580924,-5.863661891
95.6129307,0.079388557,-2.243072828
128.3859187,0.044265576,-3.8150015
54.3872103,0.287945379,-0.551975151
81.08830241,0.095180168,-2.959130834
125.6892726,0.046864076,-3.454001156
58.34712107,0.225914964,-0.989302824
66.02929869,0.15755275,-1.785731267
84.89568662,0.091482763,-2.599198353
63.4348463,0.170918564,-1.58440512
199.6627678,0.025468146,-4.138445569
69.99178677,0.137134066,-1.827379013
60.01432002,0.19536074,-1.276334748
51.42476457,0.320853951,-0.401787534
90.05034577,0.093302404,-1.916003453
70.42528242,0.111781114,-2.641689663
52.61274121,0.218889402,-1.638660296
129.7071378,0.048457961,-2.86876088
70.59468291,0.152896716,-1.469766719
68.51098464,0.150422806,-1.547156404
58.05190939,0.184402602,-1.646006055
139.4104427,0.035909776,-4.951552855
64.06470526,0.172760592,-1.200980848
73.0845015,0.113044972,-2.662313463
80.18158584,0.097298044,-2.800770837
44.61076204,0.630033511,0.608233363
63.54654751,0.162034825,-1.934079808
109.6012914,0.063290527,-2.896697637
65.68829713,0.186041078,-0.915128327
77.29098126,0.113554092,-1.921913394
57.91131634,0.237512673,-0.85121955
69.91085502,0.145154915,-1.453724401
73.25103133,0.13523723,-1.62129661
61.80251205,0.194288414,-1.262952789
170.2545433,0.03084538,-4.057519748
53.94612417,0.316805346,-0.274507731
208.0122349,0.020356965,-5.723130465
331.4372833,0.013499612,-4.894672152
237.4152345,0.019678218,-4.700115458
68.57376291,0.142912828,-1.658192275
68.90298134,0.155720091,-1.455046881
44.89980347,0.631691607,0.607150811
75.48512969,0.094488062,-3.09613436
55.66485541,0.20683695,-1.822328696
108.9217683,0.054781846,-3.955795109
209.5818611,0.020173331,-5.818769893
233.3165292,0.018821114,-5.237205631
74.53291464,0.125107583,-1.699866956
60.57294784,0.135764137,-2.727806674
65.40058894,0.168928211,-1.363122473
74.12306343,0.148062912,-1.186006919
60.60162105,0.206630638,-1.038924724
149.0466206,0.034972931,-4.448937959
78.44509959,0.102530854,-2.37148115
111.1811392,0.052924897,-3.714967336
326.8727284,0.014263242,-4.356604907
67.0065732,0.126333322,-2.731357255
151.9819926,0.032984,-4.77772653
46.39063533,0.432654859,-0.082693275
59.43880849,0.149514054,-2.656035859
63.02326628,0.167439314,-1.61704627
49.648493,0.304907968,-0.895251744
66.54532712,0.146820708,-2.130204134
88.96929476,0.075752742,-3.156627476
68.90109018,0.129032403,-2.402324883
37.62123658,0.882018443,0.373435136
43.58468619,0.442240145,-0.540646639
128.2125764,0.042708864,-4.304043015
79.95827152,0.105178041,-2.146311687
270.6469817,0.0146658,-6.305497233
543.4975526,0.007705903,-5.295516752
155.7593625,0.029085,-5.447010343
68.64153586,0.153640714,-1.334604094
82.42867136,0.091455598,-2.810543888
52.10984541,0.303663439,-0.469889921
59.21022007,0.135392342,-3.327719119
83.21986435,0.098837123,-1.966278244
59.84706832,0.179507795,-1.551213753
124.0533683,0.041502204,-4.908022961
57.76479607,0.23694323,-0.800636817
177.8192912,0.027330376,-4.721999923
84.19975073,0.082458853,-3.368172876
96.55610667,0.058682082,-4.635650117
65.68445267,0.159513404,-1.586984208
68.67427301,0.164689359,-1.153142005
53.65808817,0.256082694,-1.063889148
79.56382537,0.095289355,-2.78954889
87.02216687,0.081892874,-3.445544582
