Linf,K,t0
87.25596131,0.052070682,-6.46184343
78.20371647,0.064553105,-5.603568704
69.49303225,0.074129914,-6.070001181
85.63044843,0.053540382,-6.404773099
440.2739876,0.005027786,-14.03583803
89.03668125,0.053311658,-5.66444127
66.79814615,0.092030608,-4.755433057
71.79231507,0.077222998,-5.465313657
104.841543,0.036361911,-7.56481849
217.3128702,0.012803117,-10.37038256
121.3776725,0.027405683,-9.225450935
132.3467248,0.021446893,-11.48816281
77.3862696,0.067730022,-5.343003796
82.96690062,0.054504291,-6.587013195
84.74592899,0.059023362,-5.410913845
81.31274351,0.052725796,-7.728115666
75.21742859,0.06771499,-6.169231939
70.45858746,0.08281273,-4.8962385
74.56209512,0.076059609,-4.625126342
70.62953751,0.083749486,-4.799049239
94.27706155,0.042233453,-7.569307038
89.90694964,0.045514917,-7.666241291
75.07089681,0.071822131,-5.300923898
79.72835496,0.062569369,-5.702439603
67.9951837,0.092204063,-4.382003194
153.6631987,0.01863159,-10.8816248
99.82980145,0.03673704,-8.906000267
73.31941825,0.063600204,-7.338431234
81.57691463,0.064619614,-4.985738165
75.8495692,0.076513291,-4.285798608
69.19704366,0.091000438,-4.254646248
65.90968407,0.105172901,-3.824963275
159.991043,0.017116699,-11.66346424
86.12101993,0.045371383,-8.50405045
72.6719083,0.075320157,-5.255994155
87.16352655,0.052008191,-6.414332395
74.0208412,0.077740918,-4.703831371
105.0693068,0.037123679,-7.325593289
66.17452453,0.113800508,-2.653997274
58.77497342,0.145805802,-2.667315746
99.91058989,0.047635822,-5.182089898
133.6617288,0.023224048,-10.28999803
62.72067348,0.121929472,-3.064675402
69.02915217,0.090018117,-4.391361284
72.04206105,0.079233978,-4.753052561
109.4284224,0.032624037,-8.756123882
82.19065926,0.055665316,-6.893543632
75.16981001,0.066619805,-5.91377195
68.03366032,0.091175614,-4.567907008
78.02613078,0.070381438,-4.866299577
72.42600871,0.074684929,-5.490669268
69.34883543,0.096514046,-3.481399578
86.40917732,0.051121257,-7.027696588
469.2631773,0.004624583,-14.05754245
67.47704343,0.093737032,-4.354469155
83.92996257,0.049991502,-7.894534779
69.41731903,0.089415615,-4.3333833
96.73191034,0.037956792,-9.058588368
98.06846413,0.034781929,-10.20700452
118.7953234,0.030800884,-7.891961892
72.04242939,0.071958633,-6.048223415
75.32102998,0.06631017,-6.54556565
63.1765229,0.124192251,-3.018620161
87.79646019,0.051861175,-6.372765428
76.74101629,0.069601986,-5.668915403
275.6670316,0.009926989,-10.20850818
107.8773332,0.036275233,-7.295902727
75.06747155,0.07319882,-4.881538712
65.87337963,0.10886717,-3.326194632
124.9743668,0.027173006,-8.944858153
86.92906916,0.050187441,-6.473999686
88.80665256,0.048405465,-6.816655514
67.83070651,0.089795516,-4.858532893
73.40507355,0.077476732,-4.83728595
69.29733977,0.08635458,-4.435196497
73.4350237,0.076209914,-5.198028643
329.5334847,0.00648512,-15.16625846
66.95716451,0.093435825,-4.649618435
66.22065555,0.096987125,-4.510157549
911.1686911,0.002423367,-13.25349458
84.89811881,0.052022814,-6.880131184
131.9954684,0.023957373,-10.07907802
133.910239,0.025771355,-8.43809109
71.68642336,0.08700015,-3.868187394
76.94107568,0.065003596,-5.640486796
69.93122467,0.083432747,-5.053867927
88.90255163,0.046203546,-7.322699257
65.1651894,0.112123746,-3.231573255
69.9138914,0.083072397,-4.687372171
64.88961247,0.114027902,-3.277186492
215.6408509,0.012316743,-11.43962376
69.71680248,0.080952144,-5.245443479
65.4742015,0.114374088,-2.991231891
70.17094498,0.091770989,-3.993920509
70.05090931,0.080274725,-5.079605833
440.2739876,0.005027786,-14.03583803
96.2954537,0.046228899,-5.979254593
78.03227777,0.06289358,-6.374045438
67.14304486,0.094701215,-4.517011872
65.05059077,0.112432215,-3.151599136
95.31430483,0.043037574,-7.487044251
73.80911616,0.075504373,-4.978372301
202.7946042,0.01520986,-8.879572745
74.32224915,0.071662075,-5.466597342
69.21082865,0.091683788,-3.956190984
77.96559075,0.061737275,-6.303290563
61.69587342,0.128836836,-2.789974482
147.3516492,0.022388513,-8.968444562
94.23104206,0.04546272,-6.836861468
76.98913183,0.068970825,-5.33157555
66.11867443,0.113950753,-2.740960412
69.63787601,0.084572457,-4.962484171
142.2639086,0.019924419,-11.65090418
72.73187717,0.08137209,-4.54841266
84.97795885,0.054358158,-6.505070226
78.160426,0.062938774,-6.050606609
66.99760417,0.093771539,-4.558509061
124.13192,0.026492396,-8.987359365
78.21984241,0.062401128,-6.361846989
62.46631521,0.123667818,-3.14426118
76.36236616,0.071337081,-5.191037142
87.48624835,0.047184691,-7.516036001
71.77147284,0.081506044,-4.57986204
121.285522,0.030166636,-7.768793228
76.44236162,0.070602414,-4.871268825
113.4758618,0.033004383,-7.761038255
133.6617288,0.023224048,-10.28999803
70.74093895,0.085107973,-4.349496362
74.13432721,0.069350484,-5.933316819
68.70820716,0.09101425,-4.317316764
94.92044377,0.041926478,-7.70943585
75.66807929,0.07137417,-5.096609248
69.19704366,0.091000438,-4.254646248
66.77241766,0.096357645,-4.38350514
76.04134214,0.064185909,-6.132633078
76.21905575,0.068403512,-6.069323964
86.46479857,0.048567742,-7.390704678
68.26706052,0.096429558,-4.067940314
207.7760476,0.012639353,-11.53179799
91.03545524,0.05152612,-5.606126501
64.7236584,0.117291707,-2.89696896
80.19760379,0.059885652,-6.267201836
68.90923325,0.087918932,-4.919355209
76.68991736,0.073768102,-4.756369187
83.7974456,0.060084217,-5.268555018
68.3414261,0.086859756,-5.013805691
66.33834353,0.111800935,-3.025917679
82.22943237,0.055582508,-6.677182332
124.13192,0.026492396,-8.987359365
114.6114983,0.029930577,-8.918526685
87.12275531,0.051358568,-6.784570797
68.33956785,0.085455061,-4.957399987
125.6632483,0.024040288,-10.78889544
67.96034881,0.096117654,-3.990881405
68.4752358,0.085597485,-5.000377834
83.91864497,0.053679907,-6.672362617
78.83342636,0.062002024,-6.248378785
74.06608911,0.074878468,-5.088757245
72.17827159,0.079481756,-4.667111328
599.8430919,0.0039462,-11.94915909
72.5131367,0.081951254,-4.301154837
63.61295099,0.117464778,-3.04257138
72.47056422,0.076049164,-5.35324405
91.90453482,0.038790057,-10.03852134
235.1969738,0.011770489,-10.44983658
130.7226823,0.026921026,-8.360371031
70.10039969,0.087372993,-4.380430093
67.74823495,0.090616372,-4.532133914
126.3181057,0.025261135,-9.795109434
65.43179424,0.097458175,-4.476166679
80.9912687,0.063837727,-5.250729257
85.86431278,0.049321897,-7.343184185
97.76031428,0.043156751,-6.917048587
74.0208412,0.077740918,-4.703831371
72.18279124,0.073884602,-5.638700209
72.17646279,0.076111124,-5.462533078
89.27129422,0.050075125,-6.398447997
86.42983828,0.053755812,-6.098336616
75.62457939,0.075921078,-4.5559868
83.70576397,0.059968194,-5.52858142
68.69127589,0.094902619,-3.946037957
73.72082168,0.077202483,-4.756491713
68.88806631,0.091318248,-4.282812356
69.99684555,0.091635432,-4.017044076
