Linf,K,t0
103.8004424,0.024679315,-16.97997511
65.46157529,0.118416954,-3.053331292
78.88706006,0.048028626,-11.22759187
78.8886106,0.052473185,-9.565185013
73.20243153,0.097932903,-2.396323006
154.2840105,0.020619796,-9.630700902
66.46593465,0.106168365,-3.85234848
73.24216057,0.084029779,-4.118288915
59.9657954,0.181026485,-1.035381021
56.20525102,0.263107992,0.558906989
63.19440478,0.143370709,-1.918254803
70.17985299,0.079206348,-5.826118181
77.84546082,0.054321253,-9.464813697
65.70968182,0.10768868,-4.169938682
61.3344686,0.157633458,-1.509370804
62.48826438,0.131501839,-2.801603689
67.44927399,0.103133713,-4.193805196
68.60965355,0.076660405,-7.082797713
76.61821446,0.061348765,-7.524218398
65.0604725,0.103800177,-4.669664542
64.73672983,0.119704825,-3.03715942
63.97764977,0.119382256,-2.901387531
61.40998554,0.174143774,-0.686670913
74.00764011,0.069860995,-6.242584609
70.28831488,0.088789313,-5.045779818
93.12509543,0.039313417,-9.231803486
66.46990479,0.094742295,-4.380327697
102.808746,0.029219369,-13.18317114
66.49041393,0.098068506,-4.901364793
69.57373922,0.081990864,-5.684778987
69.22523831,0.079169637,-6.264444949
62.46530772,0.119089139,-4.145542854
62.89533903,0.130253451,-3.195965642
73.60990258,0.07641602,-4.967737783
68.66513925,0.077227152,-7.046087076
73.64483708,0.079032346,-5.134953541
73.20179975,0.060251766,-9.168212892
64.57797941,0.103368662,-4.667930708
64.05928555,0.117340458,-3.116590497
58.77414201,0.153781938,-2.616414562
63.98781781,0.141945391,-1.64413535
62.55917606,0.151122306,-1.237255459
79.63879801,0.059528879,-7.143408718
77.29596051,0.067181474,-6.084188082
65.76835985,0.12205758,-2.854097265
60.9695068,0.146365942,-2.880897353
66.86697226,0.100704213,-3.990975739
80.29927857,0.049221472,-9.833679185
75.32285003,0.062419635,-7.567538463
71.79381149,0.072016604,-6.910408613
74.65383969,0.053427657,-11.0682143
74.83730555,0.061731319,-7.71419289
115.3495446,0.031449053,-8.61643394
72.47233901,0.079217234,-5.685286663
175.0301708,0.01139175,-20.07234505
74.90068802,0.074364911,-5.432583469
62.44263028,0.157773215,-1.137196009
64.00722813,0.11639251,-3.551042497
78.96206721,0.055863686,-8.036842014
80.26487164,0.067258322,-5.330145757
57.50351533,0.204713545,-0.603625958
86.35572291,0.060459938,-4.807982261
68.05276575,0.091491738,-5.080796033
73.52798,0.074776351,-5.693578501
60.99473096,0.136804703,-2.906389388
61.74430076,0.119124303,-4.11606681
63.27696021,0.155099043,-1.163323828
66.23547797,0.10077485,-4.234221064
67.5517128,0.097393071,-4.294220861
69.73237707,0.082058674,-6.289824479
92.9570268,0.034010165,-12.72272667
109.5096837,0.035509088,-7.761387031
58.96398252,0.169471198,-1.484951747
77.29114287,0.076492978,-4.290416775
62.82466058,0.154012751,-0.551380083
76.93687665,0.052885489,-10.25290669
67.4812136,0.111335794,-3.024558494
88.58197571,0.036961888,-12.8041434
60.434653,0.211319139,0.674324758
64.63788654,0.11841317,-3.19960387
71.81835815,0.061758241,-9.171449154
81.65691989,0.062059282,-6.077625869
70.56950094,0.094641152,-3.911085478
74.49187611,0.064584078,-7.744766605
69.5527784,0.079841584,-6.367002686
63.9330425,0.146200798,-1.832631853
75.9852819,0.063608978,-7.379849527
306.8580096,0.007679517,-13.34427394
63.45749722,0.121983082,-3.383354567
61.87562363,0.172712396,-0.682427389
69.57012197,0.095060411,-3.795133718
68.48219518,0.096720656,-4.128045214
68.38460219,0.079683195,-6.876337493
67.70496177,0.107311359,-3.068005195
61.68388687,0.174206848,-0.614454057
67.46826541,0.086985048,-6.018380444
80.00161823,0.052240373,-9.091848968
74.73180547,0.074430311,-5.316887767
59.25745009,0.21380691,0.283549015
130.1799872,0.02169301,-13.19728755
63.16612751,0.130236962,-2.879756887
66.63469451,0.093572998,-4.987676458
91.16116654,0.04502154,-8.270768201
71.68912808,0.091076967,-3.849585422
59.44958439,0.200314816,0.108620007
68.00473424,0.100822103,-3.733991642
69.53152453,0.077631093,-6.732625891
65.24168685,0.103669269,-4.031676137
65.87144265,0.090062152,-7.0651569
70.13240011,0.076350238,-6.850897522
66.35050002,0.096169892,-4.923287585
64.49605511,0.123664674,-2.873062086
60.49687292,0.19179941,-0.028663577
65.43189076,0.120909244,-2.780265345
107.3004125,0.032303191,-9.450178982
60.3157475,0.167217699,-1.321556061
100.0831414,0.028254794,-14.62042176
72.11191333,0.08268439,-5.145913214
243.41095,0.006170219,-27.56259605
74.34315525,0.077648938,-5.258927972
73.22834514,0.082124671,-5.509091034
79.67900925,0.060517066,-6.959537816
60.21281106,0.159184704,-1.77372256
