Linf,K,t0
82.25223956,0.057312872,-6.469831597
97.41060224,0.037339893,-9.109748067
74.92220934,0.062078063,-7.510042584
70.63321332,0.071468118,-7.405300884
194.3054339,0.011119616,-16.21414798
80.85674813,0.061056092,-5.849658241
81.14325064,0.065277201,-5.150641285
103.7918564,0.039247539,-7.251618322
99.63631534,0.037467103,-8.828731937
87.08336647,0.051090581,-6.863146141
87.47906271,0.046331573,-8.747208257
88.71789079,0.046782974,-8.009943083
64.63070809,0.113697271,-3.675199053
98.86633082,0.040253064,-7.720557075
66.32023009,0.101605891,-4.433002841
70.48546932,0.08810755,-4.438818697
64.94953252,0.125131697,-2.693997475
66.72943263,0.105745857,-3.418569842
92.64877609,0.042430362,-8.28213192
95.74724751,0.035062747,-10.62353598
88.94569553,0.050884408,-6.530998902
139.5954766,0.021865534,-10.48678998
68.89210745,0.083662322,-5.746211924
75.35366563,0.075531133,-5.109978618
83.88013895,0.050581304,-7.640391068
225.5550293,0.012005503,-10.6609513
71.03059295,0.090781523,-3.841309823
79.17633439,0.054741176,-7.936082934
117.7187606,0.030257141,-8.844744068
80.92482308,0.063663565,-5.30990715
123.7490178,0.025195973,-10.47930098
70.28056513,0.085927124,-5.046248579
97.01247376,0.041277638,-7.513031065
103.836393,0.035661144,-8.576404594
132.959921,0.023222423,-10.49324999
95.49825256,0.041591005,-8.129920994
89.17626618,0.041276265,-9.790942269
260.333091,0.00858798,-14.94200402
88.54131375,0.041447384,-10.54170707
96.68634815,0.040290318,-8.585148296
96.48891615,0.041042393,-7.711326124
70.91806099,0.084261152,-4.629220464
156.8371012,0.014998444,-15.30476297
127.2901452,0.023993959,-10.69600467
81.42378651,0.061805936,-5.715539902
140.8327449,0.022117375,-9.93186683
141.2626411,0.017579803,-14.63114038
114.1901977,0.031774807,-8.096419633
80.3992972,0.058637381,-6.484774367
105.051133,0.032824232,-9.679207614
73.54913406,0.074450215,-5.443842762
64.37781019,0.124760286,-2.515711637
203.3242665,0.012345996,-13.45224564
111.295753,0.031808765,-8.956188572
67.61695399,0.100223885,-4.30028308
80.00346924,0.052182884,-8.645013558
77.52188883,0.063852102,-6.117960329
73.16502882,0.079864907,-4.645857689
90.28575781,0.048079368,-6.9859431
90.87882795,0.041567836,-9.601104602
77.66537346,0.065083553,-6.156397564
69.10408873,0.093990759,-4.03547546
70.99131435,0.090882645,-4.148746494
73.33768904,0.077220429,-5.065542121
96.81069181,0.035655153,-10.17042826
65.38728059,0.114019207,-3.509728314
73.04927849,0.080993787,-4.50140516
81.11092837,0.0565865,-7.027936569
100.8814075,0.034781376,-9.854950056
76.89013536,0.063736083,-6.500407954
106.0316503,0.030431888,-10.93500978
65.6148301,0.106992864,-3.952139141
68.19486125,0.103590305,-3.581110977
77.76213327,0.069182125,-5.094263496
79.99357637,0.059378486,-7.13563804
75.54728294,0.067164499,-6.20697148
77.55710034,0.061135161,-6.768420923
139.6434801,0.020734483,-11.34011283
107.097688,0.031678622,-10.07753311
94.93388127,0.040035328,-8.548365865
109.8267037,0.030498573,-9.792377523
96.08010126,0.039790533,-8.495543542
95.62543652,0.035824712,-10.86566945
85.43187203,0.045759568,-8.959209493
63.66740626,0.124553486,-2.896980042
87.08336647,0.051090581,-6.863146141
94.74453237,0.03966469,-8.937824086
273.0408557,0.009077218,-12.59190096
90.04895229,0.038045591,-11.30600657
77.94697211,0.060316387,-6.87876098
78.32197205,0.059006958,-7.094951043
78.94619428,0.071863102,-4.28542067
71.14599718,0.081503132,-5.137072362
65.85334153,0.100423556,-4.376936301
81.13399897,0.056724698,-6.984107828
74.48538566,0.085277259,-3.673590816
111.1242587,0.024641403,-14.08335711
87.62785767,0.05102097,-6.624479986
83.99185901,0.054397009,-6.588897886
116.0373635,0.031235433,-8.250680938
160.4393011,0.018069222,-11.05722946
97.75705105,0.036555344,-9.636502766
403.730185,0.005126338,-15.78807415
107.1233368,0.034836707,-8.279253294
114.8785283,0.025051305,-12.8414977
93.66683887,0.043203029,-7.699419326
76.94452102,0.058508523,-7.394912687
156.9848822,0.014998743,-14.81945639
110.8684066,0.030210586,-10.00325122
71.15633677,0.07872099,-5.572363905
102.7174595,0.036456025,-8.41950027
77.37596499,0.063167658,-6.787402868
75.5879122,0.068924486,-5.844025998
84.44172514,0.045258916,-9.436658757
75.35380292,0.070491274,-5.980333847
224.4760325,0.009280138,-17.2452581
83.21598728,0.045548505,-9.839477083
75.15039711,0.062518121,-7.493097115
80.77041985,0.059964263,-6.570061182
86.75970736,0.043687629,-9.295961464
83.24342506,0.056645491,-6.647390371
95.88824938,0.04109905,-7.837170417
74.64406143,0.075265745,-5.260117913
76.95745182,0.059083391,-7.775930993
80.61824195,0.061874321,-5.895928978
78.04851687,0.062805631,-6.186972958
75.43131215,0.067971917,-6.23179271
100.8864207,0.035014647,-9.535083135
75.99526323,0.069662465,-5.578613953
125.5567957,0.022958105,-12.2133044
96.35721388,0.041653298,-7.793567056
311.771362,0.006729897,-16.03975319
75.60630844,0.065908181,-6.441428114
84.71799695,0.051115216,-7.364331303
86.2363742,0.055541633,-5.741356311
63.40036594,0.11440206,-3.86450621
69.69712438,0.096634318,-3.558644902
130.6128563,0.019713062,-15.13359798
101.081515,0.032859101,-10.85002949
115.678859,0.027547916,-10.09442253
131.7291728,0.024034358,-10.15344069
89.28028752,0.048788621,-6.938794661
87.35178077,0.051388895,-6.679856367
80.38442525,0.058974448,-6.573490958
95.4421421,0.045337094,-6.845896603
80.30882149,0.057269238,-6.766694558
90.44404624,0.040844201,-9.816729125
169.8420143,0.01658683,-11.19796407
96.38281415,0.040402385,-8.273204916
99.1307519,0.039518198,-7.72751843
95.66356348,0.041269106,-8.480603907
115.2472419,0.025369081,-12.57021823
73.67572066,0.071197207,-5.905350466
68.91383752,0.095739952,-4.237379729
69.71562925,0.102429799,-3.084676558
105.4632455,0.033814345,-9.055878689
96.94608526,0.033662434,-11.02471131
83.01328033,0.046843262,-9.553438654
75.921377,0.08067168,-3.737616538
118.0034837,0.032016139,-7.4619408
108.6540119,0.032514096,-9.053474114
105.6947982,0.032758853,-9.017749405
73.68894516,0.065719618,-7.157894993
67.98764454,0.09129231,-4.903019019
71.96745471,0.078891275,-5.230762595
134.2230611,0.022494772,-10.53698852
216.03779,0.012282038,-11.27697774
90.10911231,0.04725755,-7.155557095
83.51119241,0.044474405,-9.806779698
72.48113031,0.07427156,-5.397172598
65.89647361,0.117567206,-2.83867818
201.8369701,0.012336993,-12.7504515
101.3066677,0.036296095,-8.764935558
83.45561095,0.049639069,-8.482681187
68.81128163,0.094359679,-4.090251338
114.3076167,0.028938171,-9.497977421
211.4653803,0.014298709,-9.265683499
86.9400021,0.051481372,-7.009701837
82.87313774,0.056143911,-6.235193588
114.9016437,0.029107829,-9.8381734
83.04494655,0.053372772,-7.4239192
84.0766876,0.051874477,-7.337420094
79.4382814,0.058609631,-7.212900861
351.1484688,0.006554922,-13.7364232
102.3227768,0.035007629,-9.445038769
99.84809934,0.032429797,-10.71643036
110.137688,0.031985313,-9.257176834
704.4456162,0.002627515,-17.93230805
74.06919812,0.080264143,-4.635691132
93.77060366,0.038889169,-9.465685323
105.5790709,0.030403346,-10.79443862
96.81342606,0.038674015,-8.980285375
75.04890905,0.070014726,-5.693794369
70.37567152,0.092286388,-3.96311945
107.8368768,0.031021623,-9.914568472
99.78932869,0.031746014,-11.71020781
89.85253796,0.041426933,-8.931642817
581.6705019,0.003399048,-16.41098645
72.55745145,0.065759217,-7.486575962
91.0162705,0.038453868,-10.63010627
136.6817206,0.019325288,-13.06897598
98.15809019,0.041013426,-7.836292456
234.9523318,0.00970316,-14.56149687
83.3057373,0.051739883,-7.509972496
78.03197775,0.061080741,-6.903901937
80.85153751,0.060930337,-6.272268243
104.6918471,0.033764254,-8.979654449
100.0773605,0.036773635,-9.48827177
80.63278143,0.063467026,-5.357576315
103.6429136,0.034102554,-9.32818995
81.88099749,0.061039825,-5.947763066
75.91102984,0.055270002,-9.275315068
230.3449811,0.010266979,-13.82468235
101.285531,0.039820423,-7.657056777
96.24435949,0.036824293,-9.875324551
123.6136671,0.023238848,-11.72079676
84.35756468,0.051505756,-7.555477382
146.4258014,0.018526135,-11.93697571
90.98300591,0.046571164,-7.012907944
79.16225874,0.052646739,-8.349646299
115.5453601,0.031494967,-8.435557151
80.62973799,0.052281754,-8.332570868
81.09206911,0.061624631,-5.848928567
85.99840505,0.05172674,-7.33913238
96.2094791,0.036446011,-10.07127194
78.29864112,0.068623673,-5.34384266
89.7356909,0.0421826,-9.50311642
77.52009145,0.074260183,-4.367564139
80.01222194,0.059989594,-6.669951343
109.8671008,0.032866373,-8.902578547
96.40815919,0.03805879,-9.514050434
86.71322577,0.046468446,-8.362214556
81.47285348,0.050638317,-8.948874487
185.1646127,0.013510765,-13.28870333
89.22078922,0.046782993,-7.59144351
92.38312776,0.044937468,-7.213126752
83.05693849,0.050476358,-8.285232197
123.9252366,0.025587824,-10.23789577
146.5277713,0.014786601,-17.39648965
94.3294086,0.03793373,-9.482398869
96.44469191,0.039645009,-8.41008118
90.68247457,0.041449727,-9.658600587
