Linf,K,t0
115.1521512,0.020538815,-16.00026294
78.48814227,0.064022078,-6.332812182
90.06454754,0.035198665,-12.39034138
76.02684975,0.055992174,-8.685744437
59.03110205,0.129017256,-4.187895747
323.5132565,0.007217371,-13.11552228
246.9232467,0.010728912,-11.51647166
124.2751026,0.026218308,-9.898394228
272.7866838,0.008145252,-14.82170141
193.650705,0.016484815,-8.49251976
61.46378753,0.120790602,-3.389599028
248.3226593,0.009041003,-14.39131637
429.4006323,0.005992099,-10.88696583
437.0225118,0.005672553,-11.67990794
98.51379727,0.035981918,-9.883894371
115.1388551,0.033488082,-7.578874529
79.60017232,0.067043108,-5.021460298
164.0967695,0.017853001,-10.80424085
77.82195088,0.060467278,-6.995228166
102.5600096,0.041959191,-6.639005804
64.05430298,0.089103499,-6.223449249
123.2792916,0.0243245,-11.31960854
96.74948708,0.039101191,-8.895473401
354.2394485,0.007735351,-10.16332606
114.8146608,0.034425017,-7.32642071
209.5271456,0.013580539,-10.5340633
82.03387873,0.057079101,-6.410892046
71.16986581,0.076560936,-5.684789685
84.31433101,0.056100125,-6.259624602
98.51032607,0.03595501,-9.339807781
233.1248943,0.009949489,-14.05874156
87.82924854,0.057996488,-5.387667272
116.3234304,0.027451837,-10.39204577
57.6127413,0.199175643,-0.791581687
216.0992537,0.011712913,-12.69620549
167.3202382,0.018463331,-9.650370167
109.2553647,0.028594634,-11.33410665
271.0254139,0.008793597,-13.56992603
88.2197298,0.049301904,-6.880252341
206.0226498,0.01398217,-10.50902507
538.9199814,0.004507054,-11.94936498
56.69872024,0.135621302,-4.296814523
699.8458547,0.003463545,-11.58904369
105.4301669,0.031279734,-10.25507832
310.7661907,0.008281175,-11.27321017
65.66577102,0.105310777,-3.846331493
140.4813291,0.026284496,-7.412068899
90.470487,0.043854341,-8.160256877
80.32635648,0.059120742,-6.642695733
91.46084899,0.045666649,-7.435807605
84.26836092,0.059423552,-5.556713963
98.09500197,0.039654352,-8.252438832
212.5788393,0.009906713,-16.67997219
91.6754861,0.045739351,-7.572113314
74.22108481,0.055524987,-9.832602375
90.470487,0.043854341,-8.160256877
777.4811364,0.002660246,-15.38819135
178.6989639,0.015860017,-11.03199389
184.7174127,0.015286675,-11.14560366
458.0394433,0.005117557,-13.03004281
58.55975607,0.15386549,-2.809856694
113.3223352,0.026911632,-11.0722119
100.8646132,0.039031628,-7.765037223
88.2197298,0.049301904,-6.880252341
64.91111126,0.09778221,-4.846799315
98.81575087,0.036291199,-9.378383765
159.0454123,0.018467693,-11.35378879
65.81576768,0.104458644,-4.566917405
190.176645,0.014775029,-10.95573271
70.45091873,0.087687839,-4.640520061
54.36671383,0.170535474,-2.483732544
113.5892852,0.027719303,-10.51164296
89.36986042,0.051281449,-6.192990651
97.85505036,0.032813631,-11.74598086
106.6143411,0.033892164,-8.601536565
113.37725,0.030729488,-9.105589097
88.75794122,0.036631729,-11.49159985
125.3769686,0.028686372,-8.345024995
154.123853,0.022262726,-7.649397626
80.92763947,0.062295379,-6.274722699
101.1650206,0.041848722,-7.005450817
111.1505095,0.035656378,-7.376365064
183.6846118,0.014262448,-12.08433365
74.50723227,0.071700461,-5.889462124
571.3887242,0.004010753,-12.8824122
501.0760332,0.004374485,-13.88925509
109.7594761,0.032189972,-8.743113613
194.7693333,0.013514969,-12.15102118
57.3378136,0.133525488,-4.50842091
98.60815547,0.035295268,-10.1430953
105.3739695,0.034603298,-8.896581122
238.2699951,0.012687495,-8.720136215
142.2354794,0.02528639,-7.62833154
98.62000681,0.044649049,-5.963445987
200.9097849,0.012341315,-13.05483138
113.6906262,0.035202931,-7.002708537
266.8463798,0.009601366,-11.72600775
