Linf,K,t0
59.53565324,0.156490645,-1.825424462
67.75168553,0.095784461,-3.531426616
100.8314133,0.041907607,-6.478690303
63.43596932,0.12336293,-2.620406171
49.87208951,0.246869366,-1.290897401
72.20254603,0.08898853,-3.700061938
176.1339231,0.017585638,-9.117691242
125.8281078,0.023647201,-10.56377132
66.53776651,0.095456012,-4.400039739
65.10983288,0.119907346,-2.547961653
56.26851206,0.194820364,-1.301177769
55.51799568,0.197324336,-1.484533572
59.72858163,0.178814526,-1.146661164
69.26567874,0.096119904,-3.886625835
51.57687971,0.270293205,-0.663941151
64.18235576,0.101848311,-4.256427245
51.6708445,0.197055652,-2.515417966
57.54760595,0.149289688,-2.375653373
55.4760272,0.198980298,-1.366454294
57.49117103,0.168277517,-1.799088371
70.01142003,0.089538399,-3.986797132
61.96162313,0.120657895,-2.9195485
59.73238557,0.118899959,-3.796212584
58.07016382,0.135103762,-3.040492527
57.36542802,0.171153521,-1.575937425
56.61084267,0.155175788,-2.499220338
63.4281639,0.098212879,-4.596348148
58.93854124,0.14230109,-2.589857032
57.04357964,0.153149771,-2.700667784
76.10211595,0.07507784,-4.613114147
162.2904544,0.019730015,-8.596218511
60.77330343,0.142386771,-2.203080682
52.38181345,0.162660625,-3.514438995
46.61477649,0.267836705,-1.680880569
50.31589938,0.268627,-0.74619795
53.26695803,0.211365761,-1.386718324
54.18725516,0.184629846,-1.785271216
66.85657303,0.074847568,-6.809430367
88.36132299,0.05859408,-4.462020652
64.01062369,0.123019093,-2.674776471
62.72014564,0.108937398,-3.595495783
55.99628736,0.169919894,-2.110911226
55.32637152,0.193608318,-1.435472609
434.391044,0.005269653,-12.61845683
173.566447,0.018196929,-8.944904004
78.99144098,0.073378731,-4.256747864
80.8547183,0.063732851,-5.295964586
56.63483679,0.151285999,-2.478000311
53.01803114,0.18386959,-1.87037205
78.10463987,0.075331601,-3.885219246
113.4159828,0.032567576,-7.601568233
60.3832066,0.121882713,-3.34681056
68.09494443,0.117403676,-2.221693439
72.61942428,0.077052159,-4.566319611
83.42625186,0.068878555,-4.080963767
50.80594461,0.241466882,-1.16366295
54.70589652,0.205226403,-1.390169543
71.00635744,0.065359823,-7.600717438
55.83300277,0.18752556,-1.595087409
54.80674612,0.15474257,-2.910301959
53.44585187,0.21288225,-1.268959524
68.35197143,0.083197001,-5.128351833
74.51563953,0.072958087,-5.148389957
55.62740395,0.175857602,-2.056526128
83.3923241,0.062174205,-4.956556027
57.33403639,0.174228589,-1.5857392
56.57235947,0.194894107,-1.416878107
66.30129376,0.101052253,-3.335480586
52.89713835,0.213242345,-1.194445722
57.90803811,0.176390349,-1.437485161
57.79545289,0.163870389,-2.027360651
52.32073782,0.174500937,-2.79380368
84.36990778,0.061328822,-4.769819344
81.11215026,0.066860616,-4.733406342
54.68109253,0.217355329,-0.992235464
112.4093525,0.031356279,-8.24223758
209.2311469,0.013999732,-9.511937432
60.38801339,0.145869594,-2.258132777
60.04428273,0.132763602,-2.728275634
67.97261971,0.095202263,-3.69039046
66.31157209,0.104077893,-3.481764338
107.7578902,0.035877334,-7.606651686
92.00631122,0.041609085,-8.035120042
75.42326433,0.077240303,-4.097591277
56.50735024,0.167687527,-2.040003349
60.16228552,0.133078962,-2.65132227
163.3717974,0.019765997,-8.534489594
58.96670517,0.139458455,-2.94053426
55.02504078,0.225683844,-0.934346434
62.26108593,0.13275223,-2.439645951
103.1796284,0.034775348,-8.183469752
80.5483322,0.066769777,-4.947259246
65.19209654,0.120559988,-2.571516235
55.79576028,0.178405034,-1.799127305
115.5202678,0.029151246,-8.804410205
69.23691138,0.086910139,-4.712045431
57.94976832,0.148909889,-2.590628507
66.38122021,0.09433314,-4.248166665
59.93791586,0.146339625,-2.073761511
79.46111973,0.05281149,-7.881626414
57.77396748,0.183862807,-1.318631951
564.4986186,0.004455588,-11.10043859
58.27586747,0.130229333,-3.30485996
60.65162684,0.108474993,-4.177540505
55.82104568,0.164176451,-2.284460109
71.76218313,0.091645413,-3.592828744
60.83786729,0.112124006,-4.251664013
70.01069653,0.087269106,-4.287354874
51.84000041,0.224531838,-1.287416934
69.71569367,0.081994073,-4.589542068
55.17425579,0.182523882,-1.582707916
161.953583,0.022658615,-6.797892338
77.74302725,0.070689449,-4.751246057
54.51655833,0.181547693,-2.000121752
66.65124849,0.078831831,-5.566015932
59.30217289,0.153752211,-2.012910561
70.13950595,0.094431339,-3.687940927
64.15328708,0.092506655,-5.109671022
67.59809491,0.106925227,-3.166863557
66.71207923,0.103042744,-3.867484551
73.3684957,0.087180846,-3.752020995
60.6451491,0.123284165,-2.942091656
51.27031024,0.211342812,-1.709045559
59.41203591,0.175929594,-1.269786752
60.68447304,0.134708418,-2.483212925
139.0974625,0.019501724,-11.34439976
61.19566765,0.116305516,-3.721591341
54.06556251,0.204978222,-1.41436453
97.38238428,0.043552338,-6.388223334
66.38884444,0.119593531,-2.38034091
54.0108036,0.231204053,-0.720267158
69.63301044,0.091982299,-4.12110648
76.28315435,0.062680876,-6.156140542
77.13295758,0.067684689,-5.053492967
60.838015,0.135399351,-2.64845165
106.6843934,0.037065309,-6.895873937
55.2195705,0.199779978,-1.48826044
71.14167378,0.075477917,-5.296405848
58.17204089,0.149119429,-2.473202229
54.44912781,0.218868516,-1.047840523
66.20539829,0.109289188,-3.288966519
67.6031644,0.066580269,-7.713498522
