Linf,K,t0
55.79006605,0.169854273,-2.153943274
54.89668863,0.186586523,-1.70200537
60.8576315,0.141951997,-2.377782459
50.24024301,0.242249217,-1.282143306
53.37407892,0.194620948,-1.817967283
50.59594685,0.25117632,-1.037051592
48.62879215,0.297075745,-0.735553252
64.1289632,0.11660944,-3.131189293
348.95002,0.00671324,-12.13807102
58.82592923,0.142284481,-2.658303438
51.56096578,0.263985346,-0.717733108
63.33287472,0.100951288,-4.601044429
58.94116085,0.153763018,-2.315537675
56.76861145,0.149769457,-2.584508435
58.70591052,0.140408015,-2.601382154
44.91752496,0.389741496,-0.157685274
51.8114099,0.191000354,-2.535387705
52.54116774,0.213147253,-1.625404135
46.99386752,0.277079005,-1.057306217
54.10754465,0.186449889,-1.801969567
81.79069861,0.059884434,-5.277494475
55.3879907,0.152820352,-2.813808908
102.4662013,0.035943153,-7.930300731
57.16436709,0.152605522,-2.628546611
61.54398025,0.124061039,-3.072525306
52.01322993,0.217087467,-1.469678547
55.62205539,0.138210156,-3.958979764
56.45207337,0.139194471,-3.580404045
58.85998889,0.138234294,-2.800545164
61.27522143,0.135554874,-2.577680597
260.3364422,0.01099896,-9.43568888
71.80827585,0.082843932,-4.365502137
62.17670652,0.145637389,-1.952892871
58.16148066,0.134127612,-3.105083731
53.40951925,0.194372945,-1.628333416
50.91334496,0.265932193,-0.732943001
58.66627171,0.146615821,-2.698583495
67.74420787,0.081077833,-5.58639433
66.83351592,0.092010308,-4.191437124
68.85557231,0.079417787,-5.157529678
79.2515951,0.073307923,-4.419082592
66.36333193,0.094425007,-4.158096084
50.21661432,0.244293789,-1.217562211
50.05450663,0.203460831,-2.669586893
51.8018246,0.205082877,-1.710911246
51.51577464,0.230443232,-1.069082687
51.43707256,0.220246916,-1.568526176
47.21621626,0.32549562,-0.388670062
58.21997758,0.148541406,-2.586731642
58.48812394,0.136162119,-2.89422689
71.86592635,0.072990622,-5.664658518
60.45549124,0.107770835,-4.462674915
49.10224533,0.254921276,-1.206349522
49.4772772,0.246496266,-1.323510303
55.45367619,0.148455717,-3.147268392
66.89910991,0.090323907,-4.573669279
61.19308322,0.103154044,-4.541541454
132.1050858,0.025375475,-9.047051748
106.792957,0.029183933,-10.38681333
54.44823448,0.207374876,-1.27334774
55.5050917,0.154841114,-2.90140973
46.57344798,0.245298474,-2.070471265
53.25000736,0.172827829,-2.688838943
60.19414112,0.14250159,-2.336101661
52.70919854,0.170020475,-2.651133619
63.98771661,0.086135567,-5.642557814
46.12300289,0.356922809,-0.423818766
47.29251166,0.270753911,-1.48436004
63.18406329,0.112682708,-3.414229758
51.96746588,0.236482495,-1.068811939
44.7308968,0.362744569,-0.487917716
69.29773952,0.077193225,-5.364171784
69.56222578,0.064378683,-7.483577814
53.99785083,0.198815689,-1.365269119
49.94332181,0.247728832,-1.284024129
117.0696381,0.031005733,-7.723200621
51.3315404,0.218133111,-1.716631992
55.97694052,0.159973296,-2.136302369
67.10228819,0.106333165,-3.030001002
54.31468197,0.157463993,-2.618145417
84.6226884,0.03021773,-14.94953079
65.09249511,0.115096905,-3.068216211
66.89910991,0.090323907,-4.573669279
63.7652125,0.0800056,-6.803359136
51.19587985,0.230128867,-1.282232484
49.82750336,0.234003331,-1.583150855
64.57243583,0.078752015,-6.095614098
57.88448147,0.154097134,-2.309502346
54.57048176,0.181079098,-1.831879826
45.68455553,0.379544095,-0.266558694
57.84128765,0.13860557,-2.823103867
57.11423201,0.135139557,-3.255796793
69.18907602,0.076107509,-5.755686699
54.46577798,0.173371494,-2.130714019
76.28598995,0.080687577,-3.679271207
63.23224875,0.118389832,-3.011733023
73.15477611,0.067414836,-6.131007983
54.43106298,0.207247567,-1.498904843
50.90688986,0.252771706,-1.149015536
194.0799949,0.012845802,-11.95993537
82.38046659,0.060105603,-5.218370996
179.4238809,0.015517253,-10.39713817
70.56475116,0.088797813,-3.777278003
60.06004292,0.143876808,-2.102975328
44.84505016,0.361231688,-0.446676677
70.12906983,0.069503525,-7.075681063
68.03042827,0.083130357,-4.985961446
62.06002745,0.1254829,-2.651150236
50.84984591,0.246610641,-0.950695487
207.0610347,0.013694904,-10.23615195
83.36018835,0.058884086,-5.816352565
57.86292838,0.154840752,-2.466325871
47.8714526,0.371370802,0.257227398
59.96781304,0.142231355,-2.585652762
52.22227472,0.222617655,-1.377429146
52.60333424,0.206864618,-1.512968904
136.5073577,0.025490719,-7.815613423
42.03604131,0.570889788,0.407357581
58.80554833,0.115297239,-4.019856191
54.21474734,0.145995534,-3.34403291
