"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"1",0,24.37,18.568,29.421,18.455,14.13975,21.641
"2",0.1,24.72,19.0795,29.6505,19.005,14.9,22.0705
"3",0.2,25.075,19.619,29.87025,19.535,15.649,22.5005
"4",0.3,25.425,20.18,30.0805,20.06,16.389,22.91
"5",0.4,25.78,20.7295,30.2805,20.59,17.0995,23.31
"6",0.5,26.13,21.22925,30.49025,21.105,17.77975,23.72
"7",0.6,26.47,21.7395,30.7005,21.62,18.44975,24.12
"8",0.7,26.805,22.27825,30.90075,22.14,19.1095,24.52
"9",0.8,27.125,22.768,31.10075,22.66,19.7695,24.90025
"10",0.9,27.455,23.25775,31.30075,23.16,20.40975,25.30025
"11",1,27.785,23.72,31.5105,23.67,21.05,25.7
"12",1.1,28.11,24.219,31.7105,24.175,21.68,26.09
"13",1.2,28.445,24.679,31.91075,24.66,22.3195,26.48025
"14",1.3,28.78,25.1095,32.1205,25.15,22.94975,26.87025
"15",1.4,29.095,25.5595,32.3205,25.63,23.57,27.2805
"16",1.5,29.4,26.0285,32.53025,26.12,24.1895,27.65025
"17",1.6,29.71,26.459,32.74,26.61,24.8,28.06025
"18",1.7,30.02,26.8995,32.95,27.1,25.40925,28.47025
"19",1.8,30.325,27.378,33.15,27.57,26,28.8805
"20",1.9,30.63,27.8195,33.3505,28.04,26.57,29.29
"21",2,30.935,28.2785,33.55075,28.5,27.12975,29.7
"22",2.1,31.25,28.708,33.76075,28.96,27.62975,30.1105
"23",2.2,31.56,29.079,33.99,29.42,28.14,30.50025
"24",2.3,31.865,29.5085,34.21025,29.87,28.67975,30.90025
"25",2.4,32.17,29.88975,34.44025,30.31,29.16975,31.28025
"26",2.5,32.46,30.309,34.6605,30.74,29.65,31.69075
"27",2.6,32.75,30.68,34.8905,31.17,30.13975,32.12
"28",2.7,33.05,31.05925,35.1105,31.6,30.56975,32.52075
"29",2.8,33.35,31.43,35.3405,32.05,31.02,32.97025
"30",2.9,33.64,31.81925,35.56,32.49,31.47,33.4
"31",3,33.915,32.19875,35.77025,32.92,31.92975,33.84
"32",3.1,34.2,32.55975,36.00025,33.35,32.35975,34.27025
"33",3.2,34.485,32.90975,36.25,33.76,32.74975,34.71
"34",3.3,34.76,33.25975,36.47025,34.175,33.17,35.17025
"35",3.4,35.04,33.59975,36.68025,34.6,33.6,35.62
"36",3.5,35.32,33.93,36.89025,35.01,33.9795,36.12
"37",3.6,35.59,34.26,37.12025,35.42,34.36,36.56
"38",3.7,35.87,34.58975,37.34025,35.82,34.74,36.99025
"39",3.8,36.15,34.9,37.58,36.22,35.11,37.46
"40",3.9,36.43,35.22975,37.81025,36.61,35.50975,37.891
"41",4,36.7,35.54,38.05,37,35.86,38.35125
"42",4.1,36.965,35.85,38.26,37.39,36.21,38.80125
"43",4.2,37.23,36.15,38.46075,37.78,36.5695,39.2405
"44",4.3,37.5,36.46975,38.71025,38.16,36.91925,39.67025
"45",4.4,37.77,36.77,38.94,38.54,37.25,40.07025
"46",4.5,38.03,37.07,39.14,38.915,37.6,40.4705
"47",4.6,38.29,37.37,39.36,39.29,37.93,40.89025
"48",4.7,38.55,37.64975,39.58,39.67,38.27,41.28125
"49",4.8,38.8,37.91975,39.8005,40.01,38.59975,41.68175
"50",4.9,39.06,38.17975,40.03025,40.39,38.91975,42.092
"51",5,39.31,38.45,40.28025,40.75,39.23,42.512
"52",5.1,39.56,38.73925,40.4905,41.11,39.55,42.931
"53",5.2,39.82,38.98,40.73,41.47,39.86,43.34025
"54",5.3,40.065,39.26,40.96025,41.82,40.17,43.72075
"55",5.4,40.31,39.51,41.18025,42.16,40.49975,44.10125
"56",5.5,40.55,39.76,41.42,42.51,40.81,44.472
"57",5.6,40.8,40.01,41.65,42.85,41.13,44.89125
"58",5.7,41.04,40.24,41.8505,43.19,41.43975,45.31
"59",5.8,41.29,40.47975,42.1,43.53,41.73,45.66025
"60",5.9,41.52,40.71,42.3205,43.865,42.03,46.02
"61",6,41.75,40.94975,42.56,44.2,42.34975,46.37
"62",6.1,41.985,41.17975,42.79025,44.54,42.64975,46.71025
"63",6.2,42.22,41.41,43.04,44.865,42.94975,47.08
"64",6.3,42.45,41.64,43.2605,45.19,43.24,47.4205
"65",6.4,42.68,41.86,43.51,45.52,43.5495,47.75075
"66",6.5,42.91,42.09,43.74,45.84,43.84925,48.07125
"67",6.6,43.14,42.32,43.97,46.15,44.11975,48.3915
"68",6.7,43.36,42.52975,44.19025,46.47,44.39,48.71175
"69",6.8,43.59,42.75925,44.42,46.78,44.68,49.0415
"70",6.9,43.81,42.95975,44.64,47.09,44.96975,49.37125
"71",7,44.03,43.1695,44.86025,47.405,45.24975,49.701
"72",7.1,44.25,43.37925,45.09,47.7,45.5395,50.0305
"73",7.2,44.47,43.56975,45.31025,48,45.8195,50.35025
