"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.9.845..10.99..12.045..13.13..14.15..15.2..16.175..17.14..18.08..","c..4.991...2.46...0.06..2.2765..4.4545..6.52225..8.43175..10.2055..","c.18.64025..19.11025..19.58..20.0525..20.55275..21.12025..21.62225..","c.24.88..25.275..25.655..26.045..26.43..26.785..27.165..27.56..","c..4.72...3.06...0.862249999999999..0.4325..1.6995..3.17..4.97125..","c.29.781..30.08025..30.3105..30.55075..30.83025..31.15025..31.42125..","c.29..29.315..29.635..29.955..30.335..30.68..30.995..31.305..","c..32.17275...29.96575...27.80875...25.702...23.6355...21.6095..","c.45.81..45.94..46.07..46.19025..46.32025..46.4405..46.5705.."
"1",0,9.845,-4.991,18.64025,24.88,-4.72,29.781,29,-32.17275,45.81
"2",0.1,10.99,-2.46,19.11025,25.275,-3.06,30.08025,29.315,-29.96575,45.94
"3",0.2,12.045,-0.06,19.58,25.655,-0.862249999999999,30.3105,29.635,-27.80875,46.07
"4",0.3,13.13,2.2765,20.0525,26.045,0.4325,30.55075,29.955,-25.702,46.19025
"5",0.4,14.15,4.4545,20.55275,26.43,1.6995,30.83025,30.335,-23.6355,46.32025
"6",0.5,15.2,6.52225,21.12025,26.785,3.17,31.15025,30.68,-21.6095,46.4405
"7",0.6,16.175,8.43175,21.62225,27.165,4.97125,31.42125,30.995,-19.63325,46.5705
"8",0.7,17.14,10.2055,22.151,27.56,6.979,31.6905,31.305,-17.6975,46.7005
"9",0.8,18.08,11.939,22.64075,27.92,9.817,31.9305,31.605,-15.83125,46.82075
"10",0.9,19.005,13.51975,23.18025,28.28,10.858,32.20025,31.895,-14.0735,46.9505
"11",1,19.875,15.009,23.7,28.69,11.94525,32.47025,32.225,-12.3655,47.0805
"12",1.1,20.745,16.458,24.21025,29.08,12.97175,32.74025,32.525,-10.67825,47.22025
"13",1.2,21.595,17.84,24.7,29.44,15.93,33.00075,32.86,-9.03125,47.35025
"14",1.3,22.425,19.24,25.18025,29.79,17.52425,33.261,33.2,-7.42425,47.49
"15",1.4,23.22,20.47975,25.6805,30.155,18.5235,33.5215,33.525,-5.83775,47.62
"16",1.5,24.01,21.62,26.18075,30.57,19.35625,33.78175,33.82,-4.28175,47.75025
"17",1.6,24.77,22.73,26.6515,30.95,20.16925,34.042,34.115,-2.7655,47.88025
"18",1.7,25.51,23.7695,27.1905,31.34,21.11,34.30225,34.435,-1.27975,48.01025
"19",1.8,26.23,24.71925,27.7015,31.695,22.89875,34.56175,34.78,0.186000000000001,48.13075
"20",1.9,26.92,25.60925,28.2705,32.03,23.76725,34.821,35.115,1.622,48.26075
"21",2,27.615,26.45,28.83025,32.365,24.61625,35.08,35.425,3.018,48.39075
