"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.19.18..19.74..20.275..20.8..21.325..21.87..22.385..22.895..","c.4.386..5.78..7.27..8.65925..10.0865..11.444..12.48875..13.616..","c.28.0505..28.29025..28.52025..28.76025..28.9705..29.2005..29.4305..","c.27.445..27.705..27.98..28.23..28.48..28.72..28.98..29.23..29.49..","c.18.67775..19.22..19.84..20.44875..21.0475..21.63625..22.098..","c.31.47125..31.66125..31.85125..32.051..32.25075..32.45025..32.65..","c.23.795..24.22..24.645..25.06..25.47..25.88..26.28..26.645..","c..0.23125..0.9675..2.13625..3.2755..4.4045..5.5035..6.58275..","c.34.67375..34.84325..35.00325..35.163..35.3425..35.54125..35.74025.."
"1",0,19.18,4.386,28.0505,27.445,18.67775,31.47125,23.795,-0.23125,34.67375
"2",0.1,19.74,5.78,28.29025,27.705,19.22,31.66125,24.22,0.9675,34.84325
"3",0.2,20.275,7.27,28.52025,27.98,19.84,31.85125,24.645,2.13625,35.00325
"4",0.3,20.8,8.65925,28.76025,28.23,20.44875,32.051,25.06,3.2755,35.163
"5",0.4,21.325,10.0865,28.9705,28.48,21.0475,32.25075,25.47,4.4045,35.3425
"6",0.5,21.87,11.444,29.2005,28.72,21.63625,32.45025,25.88,5.5035,35.54125
"7",0.6,22.385,12.48875,29.4305,28.98,22.098,32.65,26.28,6.58275,35.74025
"8",0.7,22.895,13.616,29.6605,29.23,22.549,32.85025,26.645,7.554,35.9105
"9",0.8,23.39,14.74325,29.90025,29.49,23.06625,33.051,27.02,8.4665,36.06175
"10",0.9,23.865,15.6695,30.14,29.75,23.54625,33.2515,27.405,9.35875,36.2225
"11",1,24.33,16.755,30.37,30,23.9975,33.45125,27.8,10.279,36.37275
"12",1.1,24.8,17.778,30.6,30.26,24.44875,33.661,28.175,11.29825,36.53275
"13",1.2,25.27,18.908,30.83,30.51,24.88975,33.8705,28.54,12.34525,36.68275
"14",1.3,25.72,19.909,31.06,30.8,25.36,34.08,28.895,13.3625,36.833
"15",1.4,26.16,20.8595,31.28025,31.035,25.83,34.28025,29.255,14.35025,36.993
"16",1.5,26.595,21.67975,31.51025,31.285,26.27,34.47,29.645,15.3285,37.18225
"17",1.6,27.03,22.58825,31.7405,31.54,26.6795,34.66,30.01,16.21875,37.38125
"18",1.7,27.465,23.3485,31.96075,31.805,27.13775,34.84025,30.35,17.0595,37.5705
"19",1.8,27.89,24.1185,32.1805,32.055,27.58675,35.0205,30.695,17.89,37.75025
"20",1.9,28.32,24.79925,32.40025,32.32,28.03575,35.21075,31.05,18.70075,37.90125
"21",2,28.74,25.45,32.63075,32.57,28.436,35.43,31.395,19.4915,38.06175
"22",2.1,29.16,26.04975,32.851,32.85,28.82625,35.63175,31.745,20.22325,38.25175
"23",2.2,29.545,26.7085,33.12025,33.105,29.20675,35.85175,32.075,20.91575,38.44175
"24",2.3,29.95,27.3295,33.34075,33.36,29.58875,36.0605,32.425,21.58825,38.64125
"25",2.4,30.345,27.92975,33.54075,33.61,30.0785,36.27,32.77,22.2795,38.83125
"26",2.5,30.74,28.55875,33.72175,33.885,30.49,36.45075,33.09,23.01725,39.021
"27",2.6,31.14,29.08925,33.94175,34.14,30.90925,36.6505,33.415,23.7355,39.21075
"28",2.7,31.535,29.5695,34.1705,34.395,31.36,36.86,33.74,24.444,39.40075
"29",2.8,31.91,30.02825,34.41025,34.66,31.63975,37.04025,34.07,25.1375,39.58075
"30",2.9,32.265,30.44,34.6305,34.89,32.018,37.23,34.4,25.84925,39.7705
"31",3,32.635,30.93975,34.89,35.15,32.37,37.42,34.73,26.4895,39.9405
"32",3.1,33.01,31.42975,35.12025,35.41,32.77925,37.6005,35.03,27.137,40.0815
"33",3.2,33.39,31.82975,35.34,35.65,33.07,37.8,35.32,27.77475,40.27125
"34",3.3,33.74,32.2795,35.59025,35.9,33.4085,38.01,35.65,28.404,40.4805
"35",3.4,34.1,32.739,35.82,36.125,33.69925,38.1905,35.98,28.94675,40.67025
"36",3.5,34.44,33.109,36.0305,36.38,34.05875,38.35125,36.275,29.47975,40.8505
"37",3.6,34.78,33.4895,36.27025,36.62,34.3995,38.50225,36.615,30.1,41.02075
"38",3.7,35.1,33.82975,36.51,36.86,34.66975,38.68225,36.89,30.71,41.191
"39",3.8,35.43,34.2,36.75025,37.09,34.99975,38.891,37.185,31.32,41.36075
"40",3.9,35.75,34.52975,36.99025,37.33,35.32,39.10025,37.465,31.89975,41.53025
"41",4,36.06,34.8795,37.23,37.575,35.6,39.2715,37.74,32.44,41.69025
"42",4.1,36.37,35.21975,37.48,37.815,35.87975,39.4905,38.015,33.00925,41.84075
"43",4.2,36.67,35.5,37.75,38.04,36.2085,39.70025,38.295,33.49975,42.0205
"44",4.3,36.96,35.82925,38.07,38.28,36.48825,39.88025,38.57,34.0585,42.20025
"45",4.4,37.25,36.08925,38.37025,38.53,36.71925,40.06025,38.84,34.54875,42.39075
"46",4.5,37.54,36.35975,38.62,38.76,36.97,40.25025,39.11,35.0385,42.57
"47",4.6,37.81,36.64975,38.95,38.98,37.26925,40.44,39.38,35.50875,42.7205
"48",4.7,38.09,36.9,39.20025,39.21,37.5685,40.61025,39.645,35.97875,42.8705
"49",4.8,38.36,37.14,39.48075,39.46,37.819,40.8,39.925,36.3895,43.07075
"50",4.9,38.63,37.40975,39.75025,39.695,38.0695,41.03025,40.195,36.78975,43.27
"51",5,38.89,37.63975,40.03,39.93,38.3395,41.23,40.46,37.16,43.40125
"52",5.1,39.15,37.86975,40.30025,40.17,38.59,41.44075,40.73,37.59975,43.54175
"53",5.2,39.39,38.09,40.5605,40.41,38.86,41.66025,40.985,38.01,43.682
"54",5.3,39.64,38.3295,40.8305,40.62,39.13,41.86,41.24,38.42875,43.8415
"55",5.4,39.89,38.55925,41.1115,40.855,39.4,42.08025,41.49,38.78975,43.9915
"56",5.5,40.135,38.779,41.391,41.08,39.6595,42.29,41.735,39.17975,44.15125
"57",5.6,40.38,38.9895,41.67075,41.31,39.92975,42.5,41.96,39.55775,44.34025
"58",5.7,40.62,39.19,41.95,41.53,40.2,42.74025,42.22,39.89,44.49025
"59",5.8,40.86,39.41,42.2,41.75,40.46,42.9505,42.45,40.29775,44.641
"60",5.9,41.09,39.6,42.4205,41.97,40.67,43.16,42.685,40.62875,44.8105
