T1,T2,L1,L2
0.819178082,0.895890411,38,37.5
0.805479452,0.882191781,35.5,36
0.805479452,0.882191781,37,38.5
0.805479452,0.884931507,41,41.3
0.802739726,0.887671233,40,40
0.175342466,0.284931507,31,34.5
0.873972603,0.989041096,30.5,30.5
0.657534247,0.805479452,35.5,36
0.654794521,0.805479452,34.5,38
0.95890411,1.128767123,37,38
0.980821918,1.178082192,40.5,40.5
0.665753425,0.865753425,26,26.5
0.42739726,0.649315068,33,33
0.424657534,0.649315068,36,36
0.424657534,0.649315068,28,28
0.657534247,0.884931507,35,35
0.652054795,0.879452055,39,39.5
0.419178082,0.646575342,30,30
0.421917808,0.649315068,28,28
0.424657534,0.652054795,29.5,30
0.646575342,0.876712329,43,44
0.980821918,1.210958904,28.5,29
0.657534247,0.887671233,36,37
0.419178082,0.649315068,30.5,30.5
0.652054795,0.884931507,44,44
0.654794521,0.887671233,32,32.7
0.887671233,1.131506849,25,27
0.882191781,1.128767123,37,37
0.128767123,0.421917808,35,35
0.128767123,0.421917808,36,38
0.887671233,1.183561644,24,26.5
0.665753425,0.98630137,29.5,30
0.890410959,1.219178082,37,39.5
0.871232877,1.21369863,30,33
0.868493151,1.21369863,30,31
0.868493151,1.21369863,29.5,32
0.871232877,1.219178082,29,31
0.865753425,1.216438356,30,34
0.868493151,1.219178082,30,33
0.219178082,0.657534247,35,35.5
0.216438356,0.657534247,32,31
0.21369863,0.657534247,31,32.5
0.21369863,0.657534247,34,35
0.197260274,0.654794521,35,35
0.657534247,1.128767123,34,35
0.178082192,0.657534247,33,33
0.178082192,0.657534247,33,33.5
0.131506849,0.654794521,36.5,36.5
0.660273973,1.235616438,34,37
0.230136986,0.805479452,36,36
0.293150685,0.887671233,33.5,36
0.194520548,0.802739726,34.5,34.5
0.235616438,0.884931507,34,34
0.216438356,0.868493151,38,38
0.216438356,0.884931507,36,36
0.21369863,0.884931507,35,36
0.210958904,0.884931507,43,41
0.21369863,0.890410959,32.5,32
0.202739726,0.895890411,40,37
0.178082192,0.882191781,40,41
0.156164384,0.871232877,29,30
0.139726027,0.884931507,32,37
0.871232877,1.657534247,29,31
0.868493151,1.660273973,30,33.5
0.871232877,1.882191781,32,34
0.868493151,1.884931507,32,35
0.660273973,1.805479452,35,38
0.657534247,1.805479452,37,36
0.879452055,2.167123288,39,40.5
0.654794521,2.128767123,35,37.5
0.178082192,1.882191781,35,39
0.175342466,1.882191781,33,39.5
0.865753425,3.654794521,31,44
0.430136986,0.509589041,43.9,43.3
0.257534247,0.435616438,42.5,43.3
0.263013699,0.509589041,54,54.1
0.178082192,0.432876712,60.5,61.5
0.139726027,0.430136986,29.4,30.2
0.8,1.852054795,39.1,42.7
0.032876712,1.145205479,40.1,44.3
